uSim ySim yref uMin uMax yMin yMax uSimDig ySimDig vol
0.415140 3.965802 4.000000 0.000000 1.000000 0.000000 10.000000 1700 1623 1.622410e-04
0.400000 4.022341 4.000000 0.000000 1.000000 0.000000 10.000000 1638 1647 1.622410e-04
0.464957 4.054277 4.000000 0.000000 1.000000 0.000000 10.000000 1904 1660 1.622410e-04
0.414164 4.054792 4.000000 0.000000 1.000000 0.000000 10.000000 1696 1660 1.622410e-04
0.438339 4.064211 4.000000 0.000000 1.000000 0.000000 10.000000 1795 1664 1.622410e-04
0.442247 4.052900 4.000000 0.000000 1.000000 0.000000 10.000000 1811 1659 1.622410e-04
0.494505 4.032688 4.000000 0.000000 1.000000 0.000000 10.000000 2025 1651 1.622410e-04
0.430281 4.002623 4.000000 0.000000 1.000000 0.000000 10.000000 1762 1639 1.622410e-04
0.395116 4.028161 4.000000 0.000000 1.000000 0.000000 10.000000 1618 1649 1.622410e-04
0.540415 4.024076 4.000000 0.000000 1.000000 0.000000 10.000000 2213 1647 1.558881e-04
0.441270 3.991916 4.000000 0.000000 1.000000 0.000000 10.000000 1807 1634 1.558881e-04
0.423443 4.007778 4.000000 0.000000 1.000000 0.000000 10.000000 1734 1641 1.558881e-04
0.368742 4.039024 4.000000 0.000000 1.000000 0.000000 10.000000 1510 1653 1.558881e-04
0.565324 4.032361 4.000000 0.000000 1.000000 0.000000 10.000000 2315 1651 1.558881e-04
0.356288 3.976618 4.000000 0.000000 1.000000 0.000000 10.000000 1459 1628 1.558881e-04
0.585592 3.997905 4.000000 0.000000 1.000000 0.000000 10.000000 2398 1637 1.558881e-04
0.449328 3.939323 4.000000 0.000000 1.000000 0.000000 10.000000 1840 1613 1.558881e-04
0.408791 3.975189 4.000000 0.000000 1.000000 0.000000 10.000000 1674 1627 1.558881e-04
0.417338 4.026700 4.000000 0.000000 1.000000 0.000000 10.000000 1709 1648 1.558881e-04
0.460806 4.041816 4.000000 0.000000 1.000000 0.000000 10.000000 1887 1655 1.558881e-04
0.414896 4.032118 4.000000 0.000000 1.000000 0.000000 10.000000 1699 1651 1.558881e-04
0.467155 4.032545 4.000000 0.000000 1.000000 0.000000 10.000000 1913 1651 1.558881e-04
0.476190 3.999490 4.000000 0.000000 1.000000 0.000000 10.000000 1950 1637 1.558881e-04
0.445421 3.995165 4.000000 0.000000 1.000000 0.000000 10.000000 1824 1636 1.558881e-04
0.458608 3.996246 4.000000 0.000000 1.000000 0.000000 10.000000 1878 1636 1.558881e-04
0.388278 4.012346 4.000000 0.000000 1.000000 0.000000 10.000000 1590 1643 1.558881e-04
0.495726 4.052157 4.000000 0.000000 1.000000 0.000000 10.000000 2030 1659 1.558881e-04
0.359951 4.062184 4.000000 0.000000 1.000000 0.000000 10.000000 1474 1663 1.558881e-04
0.645177 4.090852 5.000000 0.000000 1.000000 0.000000 10.000000 2642 1675 1.558881e-04
0.824664 4.038598 5.000000 0.000000 1.000000 0.000000 10.000000 3377 1653 1.558881e-04
0.415629 4.115812 5.000000 0.000000 1.000000 0.000000 10.000000 1702 1685 1.558881e-04
0.548718 4.425027 5.000000 0.000000 1.000000 0.000000 10.000000 2247 1812 1.558881e-04
0.322833 4.668108 5.000000 0.000000 1.000000 0.000000 10.000000 1322 1911 1.558881e-04
0.498168 4.893673 5.000000 0.000000 1.000000 0.000000 10.000000 2040 2003 1.558881e-04
0.544811 4.965627 5.000000 0.000000 1.000000 0.000000 10.000000 2231 2033 6.636382e-05
0.507448 5.002131 5.000000 0.000000 1.000000 0.000000 10.000000 2078 2048 6.055401e-05
0.686203 5.012162 5.000000 0.000000 1.000000 0.000000 10.000000 2810 2052 6.055401e-05
0.562149 5.003064 5.000000 0.000000 1.000000 0.000000 10.000000 2302 2048 6.055401e-05
0.399512 5.094330 5.000000 0.000000 1.000000 0.000000 10.000000 1636 2086 6.055401e-05
0.496703 5.164260 5.000000 0.000000 1.000000 0.000000 10.000000 2034 2114 6.055401e-05
0.661538 5.106918 5.000000 0.000000 1.000000 0.000000 10.000000 2709 2091 6.055401e-05
0.692796 4.991909 5.000000 0.000000 1.000000 0.000000 10.000000 2837 2044 6.055401e-05
0.471551 4.966295 5.000000 0.000000 1.000000 0.000000 10.000000 1931 2033 6.055401e-05
0.618803 5.042170 5.000000 0.000000 1.000000 0.000000 10.000000 2534 2064 6.055401e-05
0.458852 5.045630 5.000000 0.000000 1.000000 0.000000 10.000000 1879 2066 6.055401e-05
0.511844 5.097428 5.000000 0.000000 1.000000 0.000000 10.000000 2096 2087 6.055401e-05
0.561416 5.081743 5.000000 0.000000 1.000000 0.000000 10.000000 2299 2080 6.055401e-05
0.589744 5.026523 5.000000 0.000000 1.000000 0.000000 10.000000 2415 2058 6.055401e-05
0.662271 4.964395 5.000000 0.000000 1.000000 0.000000 10.000000 2712 2032 6.055401e-05
0.462759 4.946884 5.000000 0.000000 1.000000 0.000000 10.000000 1895 2025 6.055401e-05
0.638339 4.988819 5.000000 0.000000 1.000000 0.000000 10.000000 2614 2042 6.055401e-05
0.563126 4.947871 5.000000 0.000000 1.000000 0.000000 10.000000 2306 2026 6.055401e-05
0.506227 4.978650 5.000000 0.000000 1.000000 0.000000 10.000000 2073 2038 6.055401e-05
0.497192 5.015570 5.000000 0.000000 1.000000 0.000000 10.000000 2036 2053 6.055401e-05
0.600000 5.023294 5.000000 0.000000 1.000000 0.000000 10.000000 2457 2057 6.055401e-05
0.538706 4.989332 5.000000 0.000000 1.000000 0.000000 10.000000 2206 2043 6.055401e-05
0.646642 4.985175 5.000000 0.000000 1.000000 0.000000 10.000000 2648 2041 6.055401e-05
0.534310 4.965071 5.000000 0.000000 1.000000 0.000000 10.000000 2188 2033 6.055401e-05
0.508669 5.006698 5.000000 0.000000 1.000000 0.000000 10.000000 2083 2050 6.055401e-05
0.665690 5.010737 5.000000 0.000000 1.000000 0.000000 10.000000 2726 2051 6.055401e-05
0.446398 4.989926 5.000000 0.000000 1.000000 0.000000 10.000000 1828 2043 5.256031e-05
0.678632 5.061105 5.000000 0.000000 1.000000 0.000000 10.000000 2779 2072 5.256031e-05
0.511844 5.036261 5.000000 0.000000 1.000000 0.000000 10.000000 2096 2062 5.256031e-05
0.447131 5.101755 5.000000 0.000000 1.000000 0.000000 10.000000 1831 2089 5.256031e-05
0.630769 5.112505 5.000000 0.000000 1.000000 0.000000 10.000000 2583 2093 5.256031e-05
0.636386 5.031845 5.000000 0.000000 1.000000 0.000000 10.000000 2606 2060 5.256031e-05
0.550427 4.990199 5.000000 0.000000 1.000000 0.000000 10.000000 2254 2043 5.256031e-05
0.515507 5.013978 5.000000 0.000000 1.000000 0.000000 10.000000 2111 2053 5.256031e-05
0.578022 5.023234 5.000000 0.000000 1.000000 0.000000 10.000000 2367 2057 5.256031e-05
0.553358 5.006918 5.000000 0.000000 1.000000 0.000000 10.000000 2266 2050 5.256031e-05
0.535775 5.018556 5.000000 0.000000 1.000000 0.000000 10.000000 2194 2055 5.256031e-05
0.586813 5.013105 5.000000 0.000000 1.000000 0.000000 10.000000 2403 2052 5.256031e-05
0.570208 4.991327 5.000000 0.000000 1.000000 0.000000 10.000000 2335 2043 5.256031e-05
0.611233 4.971504 5.000000 0.000000 1.000000 0.000000 10.000000 2503 2035 5.256031e-05
0.642491 4.945240 5.000000 0.000000 1.000000 0.000000 10.000000 2631 2025 5.256031e-05
0.397070 4.955187 5.000000 0.000000 1.000000 0.000000 10.000000 1626 2029 5.256031e-05
0.526740 5.030545 5.000000 0.000000 1.000000 0.000000 10.000000 2157 2060 5.256031e-05
0.770452 4.972394 5.000000 0.000000 1.000000 0.000000 10.000000 3155 2036 5.256031e-05
0.540171 4.894079 5.000000 0.000000 1.000000 0.000000 10.000000 2212 2004 5.256031e-05
0.402442 4.990941 5.000000 0.000000 1.000000 0.000000 10.000000 1648 2043 5.256031e-05
0.638339 5.065546 5.000000 0.000000 1.000000 0.000000 10.000000 2614 2074 5.256031e-05
0.496947 5.044667 5.000000 0.000000 1.000000 0.000000 10.000000 2035 2065 5.256031e-05
0.599023 5.079090 5.000000 0.000000 1.000000 0.000000 10.000000 2453 2079 4.006160e-05
0.471551 5.059548 5.000000 0.000000 1.000000 0.000000 10.000000 1931 2071 4.006160e-05
0.711600 5.063698 5.000000 0.000000 1.000000 0.000000 10.000000 2914 2073 4.006160e-05
0.654945 4.995231 5.000000 0.000000 1.000000 0.000000 10.000000 2682 2045 4.006160e-05
0.439316 5.054766 5.000000 0.000000 1.000000 0.000000 10.000000 1799 2069 4.006160e-05
0.515751 5.176383 5.000000 0.000000 1.000000 0.000000 10.000000 2112 2119 4.006160e-05
0.593895 5.183003 5.000000 0.000000 1.000000 0.000000 10.000000 2432 2122 4.006160e-05
0.441514 5.160415 5.000000 0.000000 1.000000 0.000000 10.000000 1808 2113 4.006160e-05
0.677656 5.143037 5.000000 0.000000 1.000000 0.000000 10.000000 2775 2106 4.006160e-05
0.453236 5.034586 5.000000 0.000000 1.000000 0.000000 10.000000 1856 2061 4.006160e-05
0.870818 4.998140 5.000000 0.000000 1.000000 0.000000 10.000000 3566 2046 4.006160e-05
0.671306 4.911487 5.000000 0.000000 1.000000 0.000000 10.000000 2749 2011 4.006160e-05
0.250061 5.051656 5.000000 0.000000 1.000000 0.000000 10.000000 1024 2068 4.006160e-05
0.547009 5.273236 5.000000 0.000000 1.000000 0.000000 10.000000 2240 2159 4.006160e-05
