uSim ySim yref uMin uMax yMin yMax uSimDig ySimDig vol
0.337973 3.014041 3.000000 0.000000 1.000000 0.000000 10.000000 1384 1234 1.186479e-03
0.382906 2.996363 3.000000 0.000000 1.000000 0.000000 10.000000 1568 1227 1.186479e-03
0.346520 2.984243 3.000000 0.000000 1.000000 0.000000 10.000000 1419 1222 1.186479e-03
0.301587 2.996879 3.000000 0.000000 1.000000 0.000000 10.000000 1235 1227 1.186479e-03
0.304762 3.026493 3.000000 0.000000 1.000000 0.000000 10.000000 1248 1239 1.186479e-03
0.363126 3.030986 3.000000 0.000000 1.000000 0.000000 10.000000 1487 1241 1.186479e-03
0.286691 3.032507 3.000000 0.000000 1.000000 0.000000 10.000000 1174 1241 1.186479e-03
0.336020 3.040274 3.000000 0.000000 1.000000 0.000000 10.000000 1376 1244 1.186479e-03
0.406593 2.997596 3.000000 0.000000 1.000000 0.000000 10.000000 1665 1227 1.186479e-03
0.350183 2.973153 3.000000 0.000000 1.000000 0.000000 10.000000 1434 1217 1.186479e-03
0.268132 3.017907 3.000000 0.000000 1.000000 0.000000 10.000000 1098 1235 1.186479e-03
0.764103 3.076870 4.000000 0.000000 1.000000 0.000000 10.000000 3129 1259 1.186479e-03
0.520635 3.089077 4.000000 0.000000 1.000000 0.000000 10.000000 2132 1264 1.186479e-03
0.336996 3.372866 4.000000 0.000000 1.000000 0.000000 10.000000 1380 1381 1.186479e-03
0.190476 3.756291 4.000000 0.000000 1.000000 0.000000 10.000000 780 1538 1.186479e-03
0.217582 4.078791 4.000000 0.000000 1.000000 0.000000 10.000000 891 1670 1.186479e-03
0.351160 4.184742 4.000000 0.000000 1.000000 0.000000 10.000000 1438 1713 1.186479e-03
0.518926 4.097330 4.000000 0.000000 1.000000 0.000000 10.000000 2125 1677 1.079942e-03
0.495971 3.951315 4.000000 0.000000 1.000000 0.000000 10.000000 2031 1618 1.079942e-03
0.510379 3.858217 4.000000 0.000000 1.000000 0.000000 10.000000 2090 1579 1.079942e-03
0.522833 3.809624 4.000000 0.000000 1.000000 0.000000 10.000000 2141 1560 1.079942e-03
0.416361 3.809961 4.000000 0.000000 1.000000 0.000000 10.000000 1705 1560 1.079942e-03
0.420269 3.887538 4.000000 0.000000 1.000000 0.000000 10.000000 1721 1591 1.079942e-03
0.430037 3.940325 4.000000 0.000000 1.000000 0.000000 10.000000 1761 1613 1.079942e-03
0.432479 3.966374 4.000000 0.000000 1.000000 0.000000 10.000000 1771 1624 1.079942e-03
0.465446 3.972843 4.000000 0.000000 1.000000 0.000000 10.000000 1906 1626 1.079942e-03
0.382662 3.987142 4.000000 0.000000 1.000000 0.000000 10.000000 1567 1632 1.079942e-03
0.432234 4.002483 4.000000 0.000000 1.000000 0.000000 10.000000 1770 1639 1.079942e-03
0.519658 3.958937 4.000000 0.000000 1.000000 0.000000 10.000000 2128 1621 1.079942e-03
0.497924 3.904887 4.000000 0.000000 1.000000 0.000000 10.000000 2039 1599 1.079942e-03
0.478632 3.899430 4.000000 0.000000 1.000000 0.000000 10.000000 1960 1596 1.079942e-03
0.421490 3.927947 4.000000 0.000000 1.000000 0.000000 10.000000 1726 1608 1.079942e-03
0.391209 3.995453 4.000000 0.000000 1.000000 0.000000 10.000000 1602 1636 1.079942e-03
0.454945 4.030199 4.000000 0.000000 1.000000 0.000000 10.000000 1863 1650 1.079942e-03
0.439072 4.028838 4.000000 0.000000 1.000000 0.000000 10.000000 1798 1649 1.079942e-03
0.464469 4.022613 4.000000 0.000000 1.000000 0.000000 10.000000 1902 1647 1.079942e-03
0.477900 3.997179 4.000000 0.000000 1.000000 0.000000 10.000000 1957 1636 1.079942e-03
0.427106 3.985726 4.000000 0.000000 1.000000 0.000000 10.000000 1749 1632 1.079942e-03
0.480586 3.994388 4.000000 0.000000 1.000000 0.000000 10.000000 1968 1635 1.079942e-03
0.477411 3.969206 4.000000 0.000000 1.000000 0.000000 10.000000 1955 1625 1.079942e-03
0.418559 3.977317 4.000000 0.000000 1.000000 0.000000 10.000000 1714 1628 1.079942e-03
0.442491 3.999319 4.000000 0.000000 1.000000 0.000000 10.000000 1812 1637 1.079942e-03
0.422711 4.011690 4.000000 0.000000 1.000000 0.000000 10.000000 1731 1642 1.079942e-03
0.410012 4.036267 4.000000 0.000000 1.000000 0.000000 10.000000 1679 1652 1.079942e-03
0.499634 4.020340 4.000000 0.000000 1.000000 0.000000 10.000000 2046 1646 1.079942e-03
0.457875 3.986926 4.000000 0.000000 1.000000 0.000000 10.000000 1875 1632 1.079942e-03
0.408791 4.003360 4.000000 0.000000 1.000000 0.000000 10.000000 1674 1639 1.079942e-03
0.416117 4.036842 4.000000 0.000000 1.000000 0.000000 10.000000 1704 1653 1.079942e-03
0.431258 4.048119 4.000000 0.000000 1.000000 0.000000 10.000000 1766 1657 1.079942e-03
